machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,3,16,3.08,7.983639217561042e-06,28.7,18.3,13.7,6.29
Pi5,SmolLM2-1.7B,Q3_K_M,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,1,1,0.81,2.3083440713334717e-06,8.3,5.5,4.5,7.09
Pi5,SmolLM2-1.7B,Q3_K_M,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,2,1,0.84,2.3485766660282415e-06,8.5,4.9,3.9,7.2
Pi5,SmolLM2-1.7B,Q3_K_M,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,3,1,0.84,2.347143560500121e-06,8.4,4.2,3.2,6.13
Pi5,SmolLM2-1.7B,Q3_K_M,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,1,0,0.56,1.99032997645896e-06,7.2,2.8,2.1,6.11
Pi5,SmolLM2-1.7B,Q3_K_M,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,2,0,0.54,1.966610387952012e-06,7.1,3.3,2.7,7.16
Pi5,SmolLM2-1.7B,Q3_K_M,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,3,0,0.57,2.0128707402941385e-06,7.2,3.1,2.5,6.84
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,16,1,0,1.4,5.022402642565281e-06,18.1,9.2,7.3,6.72
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,16,2,0,1.37,4.842507786204813e-06,17.4,8.3,6.5,6.71
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,16,3,0,1.38,4.759259160871379e-06,17.1,8.5,6.9,6.9
Pi5,SmolLM2-1.7B,Q3_K_M,"What are the different types of characters in the given play?
Macbeth",moyen,69,16,1,16,2.46,5.487863198332075e-06,19.8,13.0,9.3,5.8
Pi5,SmolLM2-1.7B,Q3_K_M,"What are the different types of characters in the given play?
Macbeth",moyen,69,16,2,16,2.45,5.455825170943441e-06,19.6,13.3,9.8,5.97
Pi5,SmolLM2-1.7B,Q3_K_M,"What are the different types of characters in the given play?
Macbeth",moyen,69,16,3,16,2.46,5.513052824399199e-06,19.8,13.3,9.7,5.9
Pi5,SmolLM2-1.7B,Q3_K_M,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,16,1,0,1.04,2.6075142365616917e-06,9.4,7.3,6.0,7.27
Pi5,SmolLM2-1.7B,Q3_K_M,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,16,2,0,1.05,2.6223260296060975e-06,9.4,7.1,5.8,7.11
Pi5,SmolLM2-1.7B,Q3_K_M,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,16,3,0,1.04,2.608225264724283e-06,9.4,7.5,6.0,7.37
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the most suitable adverb for the following sentence
She works",moyen,70,16,1,5,1.17,2.7988210945307448e-06,10.1,5.8,4.3,6.34
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the most suitable adverb for the following sentence
She works",moyen,70,16,2,5,1.15,2.7711854455672837e-06,10.0,7.5,5.7,6.64
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the most suitable adverb for the following sentence
She works",moyen,70,16,3,5,1.16,2.7799055421576034e-06,10.0,7.2,5.5,6.4
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,16,1,0,0.86,2.3809053454037393e-06,8.6,4.7,3.8,6.87
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,16,2,0,0.85,2.371910139166668e-06,8.5,4.8,3.9,7.0
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,16,3,0,0.85,2.365109093944486e-06,8.5,5.6,4.4,7.16
Pi5,SmolLM2-1.7B,Q3_K_M,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,16,1,6,1.48,3.759084478315044e-06,13.5,8.1,6.0,5.92
Pi5,SmolLM2-1.7B,Q3_K_M,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,16,2,6,1.5,3.853784512401875e-06,13.9,8.9,6.6,6.1
Pi5,SmolLM2-1.7B,Q3_K_M,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,16,3,6,1.49,3.7628312046921728e-06,13.5,9.2,7.0,6.25
Pi5,SmolLM2-1.7B,Q3_K_M,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,16,1,0,0.71,2.1826562062664004e-06,7.9,3.8,2.9,5.57
Pi5,SmolLM2-1.7B,Q3_K_M,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,16,2,0,0.68,2.1482055715099096e-06,7.7,2.9,2.2,6.31
Pi5,SmolLM2-1.7B,Q3_K_M,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,16,3,0,0.7,2.1759959939444622e-06,7.8,4.4,3.5,6.8
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the concept of artificial intelligence in your own words.,moyen,66,16,1,0,0.54,1.9689907936758693e-06,7.1,3.1,2.4,6.76
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the concept of artificial intelligence in your own words.,moyen,66,16,2,0,0.52,1.942459519012005e-06,7.0,3.2,2.6,7.03
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the concept of artificial intelligence in your own words.,moyen,66,16,3,0,0.51,1.934300153013608e-06,7.0,3.1,2.5,6.85
Pi5,SmolLM2-1.7B,Q3_K_M,Follow the given example and create a poem about a passionate sunset.,moyen,69,16,1,0,0.6,2.050341187888926e-06,7.4,3.1,2.5,6.7
Pi5,SmolLM2-1.7B,Q3_K_M,Follow the given example and create a poem about a passionate sunset.,moyen,69,16,2,0,0.61,2.057420373277662e-06,7.4,3.0,2.4,6.56
Pi5,SmolLM2-1.7B,Q3_K_M,Follow the given example and create a poem about a passionate sunset.,moyen,69,16,3,0,0.61,2.063029088944417e-06,7.4,3.2,2.5,6.91
Pi5,SmolLM2-1.7B,Q3_K_M,"Create three subheadings that could be used to divide the news article.
Tesla announced plans to develop a new battery technology that will increase the range of electric vehicles.",long,180,16,1,16,3.31,1.056139961714828e-05,38.0,20.7,15.8,6.58
Pi5,SmolLM2-1.7B,Q3_K_M,"Create three subheadings that could be used to divide the news article.
Tesla announced plans to develop a new battery technology that will increase the range of electric vehicles.",long,180,16,2,16,3.29,1.0476731648249054e-05,37.7,19.9,15.1,6.14
Pi5,SmolLM2-1.7B,Q3_K_M,"Create three subheadings that could be used to divide the news article.
Tesla announced plans to develop a new battery technology that will increase the range of electric vehicles.",long,180,16,3,16,3.32,1.0423283792164083e-05,37.5,20.0,15.5,6.41
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a string word and a dictionary of words, determine whether the word is a valid word.
String word: ""hello""
Dictionary of words: { ""hi"", ""bye"", ""hello"", ""world"" }",long,166,16,1,16,3.66,1.1853305152473775e-05,42.7,24.0,18.5,6.72
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a string word and a dictionary of words, determine whether the word is a valid word.
String word: ""hello""
Dictionary of words: { ""hi"", ""bye"", ""hello"", ""world"" }",long,166,16,2,16,3.69,1.1947182242623247e-05,43.0,22.7,17.4,6.55
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a string word and a dictionary of words, determine whether the word is a valid word.
String word: ""hello""
Dictionary of words: { ""hi"", ""bye"", ""hello"", ""world"" }",long,166,16,3,16,3.72,1.194382987236061e-05,43.0,22.6,17.2,6.28
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following conditions, formulate a hypothesis.
Temperature, humidity, and precipitation levels are higher during the summer than the winter.",long,149,16,1,16,2.89,7.009612193469161e-06,25.2,16.8,12.8,6.26
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following conditions, formulate a hypothesis.
Temperature, humidity, and precipitation levels are higher during the summer than the winter.",long,149,16,2,16,2.87,7.003447578554357e-06,25.2,17.4,13.0,6.42
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following conditions, formulate a hypothesis.
Temperature, humidity, and precipitation levels are higher during the summer than the winter.",long,149,16,3,16,2.9,7.082045105642204e-06,25.5,17.1,12.5,6.1
Pi5,SmolLM2-1.7B,Q3_K_M,"Make an assumption based on the following data.
90% of surveyed software developers work more than 8 hours a day, while only 10% work less than 8 hours a day",long,157,16,1,16,3.45,1.1073852790321567e-05,39.9,19.8,14.8,6.11
Pi5,SmolLM2-1.7B,Q3_K_M,"Make an assumption based on the following data.
90% of surveyed software developers work more than 8 hours a day, while only 10% work less than 8 hours a day",long,157,16,2,16,3.47,1.1167897826566914e-05,40.2,21.5,16.6,6.39
Pi5,SmolLM2-1.7B,Q3_K_M,"Make an assumption based on the following data.
90% of surveyed software developers work more than 8 hours a day, while only 10% work less than 8 hours a day",long,157,16,3,16,3.46,1.1189755015257685e-05,40.3,21.5,16.3,6.4
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following details, write a short paragraph about a vacation destination.
Destination: Mexico 
Time of Year: Summer 
Activities: Swimming, fishing, snorkeling, zip-lining",long,179,16,1,16,3.49,1.1594930663872369e-05,41.7,20.9,15.7,6.21
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following details, write a short paragraph about a vacation destination.
Destination: Mexico 
Time of Year: Summer 
Activities: Swimming, fishing, snorkeling, zip-lining",long,179,16,2,16,3.46,1.1196009379497991e-05,40.3,21.7,16.4,6.44
Pi5,SmolLM2-1.7B,Q3_K_M,"Given the following details, write a short paragraph about a vacation destination.
Destination: Mexico 
Time of Year: Summer 
Activities: Swimming, fishing, snorkeling, zip-lining",long,179,16,3,16,3.52,1.124945592281908e-05,40.5,20.7,16.0,6.38
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",long,144,16,1,0,1.14,2.791001894704439e-06,10.0,7.0,5.7,6.98
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",long,144,16,2,0,1.15,2.8440619473771623e-06,10.2,6.6,5.4,7.25
Pi5,SmolLM2-1.7B,Q3_K_M,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",long,144,16,3,0,1.17,2.9104548554792713e-06,10.5,7.3,5.9,7.18
Pi5,SmolLM2-1.7B,Q3_K_M,"Edit the following to make it suitable for school-aged children.
Bob and Bill were arguing over who was the best player on the basketball team.",long,143,16,1,16,3.07,7.991196719984546e-06,28.8,17.7,13.6,6.35
Pi5,SmolLM2-1.7B,Q3_K_M,"Edit the following to make it suitable for school-aged children.
Bob and Bill were arguing over who was the best player on the basketball team.",long,143,16,2,16,3.04,7.624876481408683e-06,27.4,17.6,13.1,6.06
Pi5,SmolLM2-1.7B,Q3_K_M,"Edit the following to make it suitable for school-aged children.
Bob and Bill were arguing over who was the best player on the basketball team.",long,143,16,3,16,3.08,8.03429515470734e-06,28.9,17.9,13.7,6.42
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a description of a situation, provide an appropriate ethical judgement.
A chef was not happy with the performance of a waiter, so he yelled and cursed at him in front of other people.",long,189,16,1,0,1.75,8.920636526898616e-06,32.1,12.0,9.7,7.53
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a description of a situation, provide an appropriate ethical judgement.
A chef was not happy with the performance of a waiter, so he yelled and cursed at him in front of other people.",long,189,16,2,0,1.75,9.029139919333463e-06,32.5,11.3,9.1,7.11
Pi5,SmolLM2-1.7B,Q3_K_M,"Given a description of a situation, provide an appropriate ethical judgement.
A chef was not happy with the performance of a waiter, so he yelled and cursed at him in front of other people.",long,189,16,3,0,1.76,8.972010708077655e-06,32.3,12.0,9.7,7.57
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite this poem to make it more vivid and interesting.
Once I had a house
where I made a thousand memories
It served me well
but now I'm gone",long,143,16,1,16,3.35,1.0617282391700134e-05,38.2,19.9,15.0,6.16
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite this poem to make it more vivid and interesting.
Once I had a house
where I made a thousand memories
It served me well
but now I'm gone",long,143,16,2,16,3.34,1.0567738055490464e-05,38.0,21.4,16.5,6.59
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite this poem to make it more vivid and interesting.
Once I had a house
where I made a thousand memories
It served me well
but now I'm gone",long,143,16,3,16,3.36,1.0721894795226386e-05,38.6,20.8,15.7,6.42
Pi5,SmolLM2-1.7B,Q3_K_M,"Categorize the following text into one of the genres: Comedy, Thriller, Romance, or Drama.
Two kids from very different backgrounds meet in summer camp and form an unlikely friendship.",long,184,16,1,0,1.69,8.672226827416712e-06,31.2,10.4,8.3,7.08
Pi5,SmolLM2-1.7B,Q3_K_M,"Categorize the following text into one of the genres: Comedy, Thriller, Romance, or Drama.
Two kids from very different backgrounds meet in summer camp and form an unlikely friendship.",long,184,16,2,0,1.73,8.873012502411768e-06,31.9,12.5,10.1,7.31
Pi5,SmolLM2-1.7B,Q3_K_M,"Categorize the following text into one of the genres: Comedy, Thriller, Romance, or Drama.
Two kids from very different backgrounds meet in summer camp and form an unlikely friendship.",long,184,16,3,0,1.72,8.910001714277579e-06,32.1,11.6,9.3,6.84
Pi5,SmolLM2-1.7B,Q3_K_M,"Label the following news article as either ""Political"" or ""Entertainment""
Ansel Elgort and Gabrielle Union have both been cast in a new romantic summer movie to be released in 2022.",long,181,16,1,0,1.97,9.663510509772702e-06,34.8,13.6,11.1,7.61
Pi5,SmolLM2-1.7B,Q3_K_M,"Label the following news article as either ""Political"" or ""Entertainment""
Ansel Elgort and Gabrielle Union have both been cast in a new romantic summer movie to be released in 2022.",long,181,16,2,0,1.98,9.697961354337612e-06,34.9,11.9,9.6,6.65
Pi5,SmolLM2-1.7B,Q3_K_M,"Label the following news article as either ""Political"" or ""Entertainment""
Ansel Elgort and Gabrielle Union have both been cast in a new romantic summer movie to be released in 2022.",long,181,16,3,0,1.98,9.77165436194476e-06,35.2,13.4,10.9,6.98
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the sentence in the given paragraph that contains all the given words.
Words: happiness, life, strive 
Paragraph:
Living your best life means striving for happiness in all aspects of life. Happiness can be found in the small daily moments, but also through being content with what you have. You don’t need to struggle to be content. You just need to shift how you look at life in order to see the beauty that already exists.",long,433,16,1,0,3.97,2.09708289544403e-05,75.5,27.2,22.0,7.1
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the sentence in the given paragraph that contains all the given words.
Words: happiness, life, strive 
Paragraph:
Living your best life means striving for happiness in all aspects of life. Happiness can be found in the small daily moments, but also through being content with what you have. You don’t need to struggle to be content. You just need to shift how you look at life in order to see the beauty that already exists.",long,433,16,2,0,3.91,2.0957700000246884e-05,75.4,27.6,22.5,7.41
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify the sentence in the given paragraph that contains all the given words.
Words: happiness, life, strive 
Paragraph:
Living your best life means striving for happiness in all aspects of life. Happiness can be found in the small daily moments, but also through being content with what you have. You don’t need to struggle to be content. You just need to shift how you look at life in order to see the beauty that already exists.",long,433,16,3,0,3.97,2.1199649861696606e-05,76.3,28.0,22.8,7.29
Pi5,SmolLM2-1.7B,Q3_K_M,"Frame a one-sentence hypothesis given the following information.
The goal of the study is to analyze the impact of online learning platforms on student performance.",long,164,16,1,6,2.0,6.6492063479292824e-06,23.9,12.5,9.8,6.89
Pi5,SmolLM2-1.7B,Q3_K_M,"Frame a one-sentence hypothesis given the following information.
The goal of the study is to analyze the impact of online learning platforms on student performance.",long,164,16,2,6,2.05,6.401268800955551e-06,23.0,12.7,9.9,6.84
Pi5,SmolLM2-1.7B,Q3_K_M,"Frame a one-sentence hypothesis given the following information.
The goal of the study is to analyze the impact of online learning platforms on student performance.",long,164,16,3,6,2.01,5.897239965624569e-06,21.2,12.0,9.4,6.74
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify if the given sentence is a rhetorical question or not. Output 1 for rhetorical question, and 0 for not.
Are you out of your mind?",long,138,16,1,0,1.44,6.5029107289115065e-06,23.4,10.0,8.1,7.36
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify if the given sentence is a rhetorical question or not. Output 1 for rhetorical question, and 0 for not.
Are you out of your mind?",long,138,16,2,0,1.44,6.446422604159552e-06,23.2,10.1,8.2,7.44
Pi5,SmolLM2-1.7B,Q3_K_M,"Identify if the given sentence is a rhetorical question or not. Output 1 for rhetorical question, and 0 for not.
Are you out of your mind?",long,138,16,3,0,1.43,6.090000596610363e-06,21.9,9.6,7.8,7.06
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,16,1,0,1.56,8.325635688870574e-06,30.0,10.4,8.5,7.67
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,16,2,0,1.56,8.388864760333452e-06,30.2,10.7,8.8,7.34
Pi5,SmolLM2-1.7B,Q3_K_M,"Create a short news article summarizing the following information.
A new report from the World Health Organization suggests that mental health in adolescents is declining due to increased social media and technology use.",long,220,16,3,0,1.56,8.319797157789254e-06,30.0,9.6,7.7,7.03
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,64,1,0,0.27,1.6220387982778245e-06,5.8,1.1,0.7,4.6
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,64,2,0,0.27,1.6205002840416564e-06,5.8,1.4,1.1,6.09
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,64,3,0,0.26,1.6063802394890239e-06,5.8,1.8,1.4,7.67
